"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMXP","PRCP"
"RSM00029605","TATARSK, RS","55.2","75.97","110.0","2010","1.13","12.60"
"RSM00025248","ILIRNEJ, RS","67.25","168.97","352.0","2010","0.26","5.02"
"RSM00027665","LUKOJANOV, RS","55.0","44.5","219.0","2010","0.76","18.06"
"RSM00028630","ZLATOUST, RS","55.17","59.67","532.0","2010","0.86","16.20"
"RSM00035121","ORENBURG, RS","51.6831","55.1","117.0","2010","0.65","11.30"
"RSM00037663","AKHTY, RS","41.47","47.7294","1047.0","2010","1.03","15.81"
"RSM00032098","PORONAJSK, RS","49.2167","143.1","7.0","2010","2.65","43.46"
"RSM00035127","AK BULAK, RS","51.0","55.6","143.0","2010","0.37","7.44"
"RSM00035007","PERELYUB, RS","51.9","50.3","72.0","2010","1.13","15.38"
"RSM00034391","ALEKSANDROV GAJ, RS","50.15","48.55","23.0","2010","0.83","11.17"
"RSM00029838","BARNAUL, RS","53.4331","83.5167","183.0","2010","1.85","17.20"
"RSM00034152","BALASHOV, RS","51.55","43.15","157.0","2010","1.23","18.18"
"RSM00024266","VERHOJANSK, RS","67.5667","133.4","136.0","2010","0.57","6.54"
"RSM00028624","KUSHNARENKOVO, RS","55.1","55.4","98.0","2010","1.08","13.76"
"RSM00028506","YELABUGA, RS","55.77","52.0694","152.0","2010","1.00","18.22"
"RSM00028748","TROITSK, RS","54.0994","61.5994","192.0","2010","1.93","12.46"
"RSM00030915","CAKIR, RS","50.43","103.6","984.0","2010","0.90","11.51"
"RSM00023058","ANTIPAJUTA, RS","69.08","76.9","2.0","2010","0.65","12.78"
"RSM00025356","ENMUVEEM, RS","66.3797","173.33","78.0","2010","0.80","15.09"
"RSM00024382","UST MOMA, RS","66.45","143.2297","195.0","2010","0.67","7.21"
"RSM00036103","TOORA HEM, RS","52.47","96.1","919.0","2010","0.93","14.02"
"RSM00035011","SOROCINSK, RS","52.4","53.1","123.0","2010","0.90","13.38"
"RSM00034289","NOVOUZENSK, RS","50.4","48.1","32.0","2010","0.97","11.45"
"RSM00034163","OKTJABRSKIJ GORODOK, RS","51.63","45.45","202.0","2010","0.98","15.56"
"RSM00030925","KJAHTA, RS","50.3667","106.45","791.0","2010","1.62","10.73"
"RSM00027648","ELATMA, RS","54.95","41.7667","136.0","2010","1.41","20.90"
"RSM00029822","KAMEN NA OBI, RS","53.8","81.28","127.0","2010","0.58","11.11"
"RSM00024136","SUHANA, RS","68.62","118.33","78.0","2010","1.63","13.33"
"RSM00036229","UST KOKSA, RS","50.28","85.62","977.0","2010","1.11","17.90"
"RSM00024371","UST CHARKY, RS","66.8","136.68","274.0","2010","0.79","10.59"
"RSM00030802","MONDY, RS","51.683","100.983","1304.0","2010",,
"RSM00030372","CHARA, RS","56.9","118.2667","709.0","2010","1.31","17.26"
"RSM00030493","NAGORNYJ, RS","55.97","124.88","860.0","2010","2.17","25.33"
"RSM00030252","MAMAKAN, RS","57.82","114.02","244.0","2010","1.52","19.46"
"RSM00031102","KANKU, RS","57.65","125.97","1204.0","2010","2.00","22.76"
"RSM00031586","KONSTANTINOVKA, RS","49.6","128.0","117.0","2010","1.69","18.98"
"RSM00034730","ROSTOV NA DONU, RS","47.25","39.82","66.0","2010","1.54","21.12"
"RSM00023955","ALEKSANDROVSKOE, RS","60.4331","77.8667","47.0","2010","1.63","25.26"
"RSM00024802","STRELKA CHUNJA, RS","61.7","102.7","357.0","2010","1.81","15.72"
"RSM00024923","LENSK, RS","60.72","114.88","241.0","2010","0.72","14.17"
"RSM00023711","TROICKO PECHERSKOE, RS","62.7","56.2","135.0","2010","0.81","22.11"
"RSM00029379","TASEEVO, RS","57.2","94.55","163.0","2010","1.59","14.09"
"RSM00022981","VELIKIJ USTJUG, RS","60.8","46.3","98.0","2010","1.29","21.69"
"RSM00030499","TYNDA, RS","55.183","124.667","528.0","2010",,
"RSM00027199","KIROV, RS","58.6","49.6331","157.0","2010","1.17","23.93"
"RSM00022619","PADANY, RS","63.27","33.42","130.0","2010","1.13","19.35"
"RSM00031594","ARHARA, RS","49.4167","130.0831","133.0","2010","1.96","22.32"
"RSM00034984","KASPIYSKIY, RS","45.4","47.4","-24.0","2010","0.78","9.11"
"RSM00030385","UST NJUKZHA, RS","56.58","121.48","430.0","2010","1.90","24.75"
"RSM00032562","BOLSHERECK, RS","52.83","156.3","30.0","2010","1.07","28.15"
"RSM00034740","GIGANT, RS","46.52","41.35","79.0","2010","1.06","21.83"
"RSM00034861","ELISTA, RS","46.32","44.3","151.0","2010","1.72","17.02"
"RSM00022854","NJANDOMA, RS","61.7","40.2","233.0","2010","1.20","26.31"
"RSM00023707","UST VUM, RS","62.23","50.42","106.0","2010","1.28","18.84"
"RSM00023946","UGUT, RS","60.5","74.02","47.0","2010","1.56","23.85"
"RSE00150360","SOLJANKA, RS","56.2","95.3","359.0","2010","2.05","22.06"
"RSM00027066","NIKOLSK, RS","59.53","45.45","141.0","2010","1.44","24.64"
"RSM00031235","DZANA, RS","55.33","134.5","318.0","2010","1.44","18.94"
"RSM00028275","TOBOLSK, RS","58.15","68.25","49.0","2010","0.80","14.86"
"RSM00031478","SOFIJSKIJ PRIISK, RS","52.27","133.9797","902.0","2010","1.70","33.52"
"RSM00030028","IKA, RS","59.28","106.17","350.0","2010","0.65","9.69"
"RSM00032447","DOLINOVKA, RS","55.12","159.07","101.0","2010","1.09","18.37"
"RSM00034866","JASKUL, RS","46.2","45.4","-7.0","2010","1.39","12.48"
"RSM00026094","TIHVIN, RS","59.7","33.6","61.0","2010","1.33","28.13"
"RSM00024908","VANAVARA, RS","60.3331","102.2667","259.0","2010","1.28","15.73"
"RSM00030393","CULMAN, RS","56.8331","124.8667","855.0","2010","2.40","26.55"
"RSM00022845","KARGOPOL, RS","61.5","38.93","124.0","2010","1.11","23.67"
"RSM00022602","REBOLY, RS","63.82","30.82","180.0","2010","0.98","19.52"
"RSM00023933","HANTY MANSIJSK, RS","61.0167","69.1167","46.0","2010","0.61","16.88"
"RSE00152210","KYZYL OZEK, RS","51.9","86.0","324.0","2010","1.15","28.17"
"RSM00028144","VERHOTURE, RS","58.9","60.7994","125.0","2010","1.13","18.65"
"RSM00031004","ALDAN, RS","58.6167","125.0331","678.0","2010","2.52","28.07"
"RSM00027296","KUMENY, RS","58.1","49.9","175.0","2010","0.97","19.33"
"RSM00029111","SREDNY VASJUGAN, RS","59.2","78.2","68.0","2010","1.55","19.94"
"RSM00031369","NIKOLAEVSK NA AMURE, RS","53.15","140.7164","67.0","2010","2.60","35.42"
"RSM00027051","TOT MA, RS","59.97","42.75","134.0","2010","2.29","23.02"
"RSM00029231","KOLPASEVO, RS","58.3","82.8831","75.0","2010","1.38","24.90"
"RSM00029594","TAJSHET, RS","55.95","98.0","305.0","2010","1.19","16.69"
"RSM00034759","REMONTNOE, RS","46.6","43.7","106.0","2010","2.38","19.50"
"RSM00031371","CHERNJAEVO, RS","52.78","126.0","208.0","2010","2.03","17.45"
"RSM00034880","ASTRAKAN, RS","46.2831","48.05","-23.0","2010","1.34","8.68"
"RSM00031253","BOMNAK, RS","54.7167","128.8667","365.0","2010","2.01","26.23"
"RSM00023921","IVDEL, RS","60.6831","60.45","93.0","2010","0.95","14.76"
"RSM00022837","VYTEGRA, RS","61.0167","36.45","55.0","2010","0.80","24.13"
"RSM00023804","SYKTYVKAR, RS","61.6667","50.8667","116.0","2010","1.13","20.17"
"RSM00021982","OSTROV VRANGELJA, RS","70.9831","-178.4833","2.0","2010","0.45","6.93"
"RSM00029348","PERVOMAJSKOE, RS","57.07","86.22","114.0","2010","0.91","17.28"
"RSM00029467","ACHINSK, RS","56.28","90.5","265.0","2010","0.81","16.63"
"RSM00028138","BISER, RS","58.5167","58.85","463.0","2010","1.67","26.59"
"RSM00027164","YEKIMTSEVO KOLOGRIV, RS","58.82","44.32","150.0","2010","1.31","20.80"
"RSM00031137","TOKO, RS","56.28","131.13","849.0","2010","1.93","22.46"
"RSM00028255","TURINSK, RS","58.0994","63.7","103.0","2010","2.30","18.66"
